Eccentricity,Right Ascension,Semi-major Axis,Arg. Periapsis,Mean Anomaly,Inclination
0.00036,1.1423973285781066,6921.0,3.0543261909900767,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,3.141592653589793,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,3.2288591161895095,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,3.3161255787892263,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,3.4033920413889427,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,3.490658503988659,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,3.5779249665883754,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,3.6651914291880923,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,3.7524578917878086,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,3.839724354387525,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,3.9269908169872414,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,4.014257279586958,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,4.101523742186674,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,4.1887902047863905,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,4.276056667386108,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,4.363323129985824,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,4.4505895925855405,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,4.537856055185257,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,4.625122517784973,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,4.71238898038469,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,4.799655442984406,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,4.886921905584122,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,4.974188368183839,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,5.061454830783556,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,5.1487212933832724,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,5.235987755982989,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,5.323254218582705,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,5.410520681182422,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,5.497787143782138,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,5.585053606381854,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,5.672320068981571,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,5.759586531581287,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,5.846852994181004,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,5.934119456780721,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,6.021385919380437,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,6.1086523819801535,0.015866629563584814,0.9250245035569946
0.00036,1.1423973285781066,6921.0,6.19591884457987,0.015866629563584814,0.9250245035569946
0.00036,1.427996660722633,6921.0,0.0,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,0.08726646259971647,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,0.17453292519943295,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,0.2617993877991494,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,0.3490658503988659,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,0.4363323129985824,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,0.5235987755982988,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,0.6108652381980153,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,0.6981317007977318,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,0.7853981633974483,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,0.8726646259971648,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,0.9599310885968813,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,1.0471975511965976,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,1.1344640137963142,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,1.2217304763960306,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,1.3089969389957472,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,1.3962634015954636,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,1.4835298641951802,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,1.5707963267948966,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,1.6580627893946132,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,1.7453292519943295,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,1.8325957145940461,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,1.9198621771937625,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,2.007128639793479,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,2.0943951023931953,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,2.181661564992912,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,2.2689280275926285,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,2.356194490192345,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,2.443460952792061,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,2.530727415391778,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,2.6179938779914944,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,2.705260340591211,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,2.792526803190927,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,2.8797932657906435,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,2.9670597283903604,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,3.0543261909900767,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,3.141592653589793,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,3.2288591161895095,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,3.3161255787892263,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,3.4033920413889427,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,3.490658503988659,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,3.5779249665883754,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,3.6651914291880923,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,3.7524578917878086,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,3.839724354387525,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,3.9269908169872414,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,4.014257279586958,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,4.101523742186674,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,4.1887902047863905,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,4.276056667386108,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,4.363323129985824,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,4.4505895925855405,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,4.537856055185257,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,4.625122517784973,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,4.71238898038469,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,4.799655442984406,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,4.886921905584122,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,4.974188368183839,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,5.061454830783556,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,5.1487212933832724,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,5.235987755982989,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,5.323254218582705,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,5.410520681182422,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,5.497787143782138,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,5.585053606381854,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,5.672320068981571,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,5.759586531581287,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,5.846852994181004,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,5.934119456780721,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,6.021385919380437,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,6.1086523819801535,0.019833286954481017,0.9250245035569946
0.00036,1.427996660722633,6921.0,6.19591884457987,0.019833286954481017,0.9250245035569946
0.00036,1.7135959928671598,6921.0,0.0,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,0.08726646259971647,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,0.17453292519943295,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,0.2617993877991494,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,0.3490658503988659,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,0.4363323129985824,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,0.5235987755982988,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,0.6108652381980153,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,0.6981317007977318,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,0.7853981633974483,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,0.8726646259971648,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,0.9599310885968813,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,1.0471975511965976,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,1.1344640137963142,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,1.2217304763960306,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,1.3089969389957472,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,1.3962634015954636,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,1.4835298641951802,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,1.5707963267948966,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,1.6580627893946132,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,1.7453292519943295,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,1.8325957145940461,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,1.9198621771937625,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,2.007128639793479,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,2.0943951023931953,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,2.181661564992912,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,2.2689280275926285,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,2.356194490192345,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,2.443460952792061,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,2.530727415391778,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,2.6179938779914944,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,2.705260340591211,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,2.792526803190927,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,2.8797932657906435,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,2.9670597283903604,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,3.0543261909900767,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,3.141592653589793,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,3.2288591161895095,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,3.3161255787892263,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,3.4033920413889427,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,3.490658503988659,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,3.5779249665883754,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,3.6651914291880923,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,3.7524578917878086,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,3.839724354387525,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,3.9269908169872414,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,4.014257279586958,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,4.101523742186674,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,4.1887902047863905,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,4.276056667386108,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,4.363323129985824,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,4.4505895925855405,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,4.537856055185257,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,4.625122517784973,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,4.71238898038469,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,4.799655442984406,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,4.886921905584122,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,4.974188368183839,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,5.061454830783556,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,5.1487212933832724,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,5.235987755982989,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,5.323254218582705,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,5.410520681182422,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,5.497787143782138,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,5.585053606381854,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,5.672320068981571,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,5.759586531581287,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,5.846852994181004,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,5.934119456780721,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,6.021385919380437,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,6.1086523819801535,0.02379994434537722,0.9250245035569946
0.00036,1.7135959928671598,6921.0,6.19591884457987,0.02379994434537722,0.9250245035569946
0.00036,1.9991953250116863,6921.0,0.0,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,0.08726646259971647,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,0.17453292519943295,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,0.2617993877991494,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,0.3490658503988659,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,0.4363323129985824,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,0.5235987755982988,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,0.6108652381980153,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,0.6981317007977318,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,0.7853981633974483,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,0.8726646259971648,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,0.9599310885968813,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,1.0471975511965976,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,1.1344640137963142,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,1.2217304763960306,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,1.3089969389957472,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,1.3962634015954636,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,1.4835298641951802,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,1.5707963267948966,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,1.6580627893946132,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,1.7453292519943295,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,1.8325957145940461,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,1.9198621771937625,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,2.007128639793479,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,2.0943951023931953,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,2.181661564992912,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,2.2689280275926285,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,2.356194490192345,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,2.443460952792061,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,2.530727415391778,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,2.6179938779914944,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,2.705260340591211,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,2.792526803190927,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,2.8797932657906435,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,2.9670597283903604,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,3.0543261909900767,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,3.141592653589793,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,3.2288591161895095,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,3.3161255787892263,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,3.4033920413889427,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,3.490658503988659,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,3.5779249665883754,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,3.6651914291880923,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,3.7524578917878086,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,3.839724354387525,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,3.9269908169872414,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,4.014257279586958,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,4.101523742186674,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,4.1887902047863905,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,4.276056667386108,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,4.363323129985824,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,4.4505895925855405,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,4.537856055185257,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,4.625122517784973,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,4.71238898038469,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,4.799655442984406,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,4.886921905584122,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,4.974188368183839,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,5.061454830783556,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,5.1487212933832724,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,5.235987755982989,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,5.323254218582705,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,5.410520681182422,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,5.497787143782138,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,5.585053606381854,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,5.672320068981571,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,5.759586531581287,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,5.846852994181004,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,5.934119456780721,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,6.021385919380437,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,6.1086523819801535,0.027766601736273423,0.9250245035569946
0.00036,1.9991953250116863,6921.0,6.19591884457987,0.027766601736273423,0.9250245035569946
0.00036,2.284794657156213,6921.0,0.0,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,0.08726646259971647,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,0.17453292519943295,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,0.2617993877991494,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,0.3490658503988659,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,0.4363323129985824,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,0.5235987755982988,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,0.6108652381980153,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,0.6981317007977318,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,0.7853981633974483,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,0.8726646259971648,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,0.9599310885968813,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,1.0471975511965976,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,1.1344640137963142,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,1.2217304763960306,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,1.3089969389957472,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,1.3962634015954636,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,1.4835298641951802,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,1.5707963267948966,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,1.6580627893946132,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,1.7453292519943295,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,1.8325957145940461,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,1.9198621771937625,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,2.007128639793479,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,2.0943951023931953,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,2.181661564992912,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,2.2689280275926285,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,2.356194490192345,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,2.443460952792061,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,2.530727415391778,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,2.6179938779914944,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,2.705260340591211,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,2.792526803190927,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,2.8797932657906435,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,2.9670597283903604,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,3.0543261909900767,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,3.141592653589793,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,3.2288591161895095,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,3.3161255787892263,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,3.4033920413889427,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,3.490658503988659,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,3.5779249665883754,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,3.6651914291880923,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,3.7524578917878086,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,3.839724354387525,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,3.9269908169872414,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,4.014257279586958,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,4.101523742186674,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,4.1887902047863905,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,4.276056667386108,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,4.363323129985824,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,4.4505895925855405,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,4.537856055185257,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,4.625122517784973,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,4.71238898038469,0.03173325912716963,0.9250245035569946
0.00036,2.284794657156213,6921.0,4.799655442984406,0.03173325912716963,0.9250245035569946
